0,1,2,layer
207,358709.42022222193,2385067.667611111,0
208,359549.5174444442,2385067.667611111,0
209,360389.6146666664,2385067.667611111,0
210,367950.4896666663,2385067.667611111,0
211,369630.6841111108,2385067.667611111,0
212,370470.78133333306,2385067.667611111,0
213,372150.97577777744,2387011.0509444447,0
214,371310.8785555552,2386363.2565,0
215,372150.97577777744,2386363.2565,0
216,372991.0729999997,2387011.0509444447,0
217,373831.17022222193,2387011.0509444447,0
218,372991.0729999997,2386363.2565,0
219,373831.17022222193,2386363.2565,0
220,371310.8785555552,2385715.4620555555,0
221,372150.97577777744,2385715.4620555555,0
222,371310.8785555552,2385067.667611111,0
223,372150.97577777744,2385067.667611111,0
224,372991.0729999997,2385715.4620555555,0
225,373831.17022222193,2385715.4620555555,0
226,372991.0729999997,2385067.667611111,0
